id,name,count,child_count,children
9455,"midbrain raphe nuclei",110.302576286,0,15
9456,"midbrain raphe nuclei, left",220.605152572,0,7
9457,"dorsal raphe nucleus, left",441.210305145,0,5
9458,"dorsal raphe nucleus, left, dorsal part",882.42061029,0,1
9459,"dorsal raphe nucleus, left, interfascicular part",882.42061029,0,1
9460,"dorsal raphe nucleus, left, ventral part",882.42061029,0,1
9461,"dorsal raphe nucleus, left, raphe cap",882.42061029,0,1
9462,"median raphe, left",441.210305145,0,1
9463,"midbrain raphe nuclei, right",220.605152572,0,7
9464,"dorsal raphe nucleus, right",441.210305145,0,5
9465,"dorsal raphe nucleus, right, dorsal part",882.42061029,0,1
9466,"dorsal raphe nucleus, right, interfascicular part",882.42061029,0,1
9467,"dorsal raphe nucleus, right, ventral part",882.42061029,0,1
9468,"dorsal raphe nucleus, right, raphe cap",882.42061029,0,1
9469,"median raphe, right",441.210305145,0,1
9470,"caudal linear nucleus, left",461.255040771,0,1
9471,"rostral linear nucleus, left",461.255040771,0,1
9472,"interfascicular nucleus, left",461.255040771,0,1
9473,"parabrachial pigmented nucleus, left",461.255040771,0,1
9474,"paranigral nucleus, left",461.255040771,0,1
9475,"caudal linear nucleus, right",461.255040771,0,1
9476,"rostral linear nucleus, right",461.255040771,0,1
9477,"interfascicular nucleus, right",461.255040771,0,1
9478,"parabrachial pigmented nucleus, right",461.255040771,0,1
9479,"paranigral nucleus, right",461.255040771,0,1
9480,"intercollicular nucleus",110.934844502,0,3
9481,"intercollicular nucleus, left",221.869689003,0,1
9482,"intercollicular nucleus, right",221.869689003,0,1
9483,"nucleus of the brachium of the inferior colliculus",110.934844502,0,3
9484,"nucleus of the brachium of the inferior colliculus, left",221.869689003,0,1
9485,"nucleus of the brachium of the inferior colliculus, right",221.869689003,0,1
9486,"sagulum nucleus",110.934844502,0,3
9487,"sagulum nucleus, left",221.869689003,0,1
9488,"sagulum, nucleus, right",221.869689003,0,1
9489,"subcommissural organ",110.934844502,0,3
9490,"subcommissural organ, left",221.869689003,0,1
9491,"subcommissural organ, right",221.869689003,0,1
9492,"pontine nuclei, left",455.935778283,0,1
9493,"pontine nuclei, right",455.935778283,0,1
9494,"accessory facial nucleus",227.996566216,0,3
9495,"accessory facial nucleus, left",455.993132433,0,1
9496,"accessory facial nucleus, right",455.993132433,0,1
9497,"accessory trigeminal nucleus",227.996566216,0,3
9498,"accessory trigeminal nucleus, left",455.993132433,0,1
9499,"accessory trigeminal nucleus, right",455.993132433,0,1
9500,"facial motor nucleus, left, medial part",911.986264866,0,1
9501,"facial motor nucleus, left, lateral part",911.986264866,0,1
9502,"facial motor nucleus, left, intermediate part",911.986264866,0,1
9503,"facial motor nucleus, left, ventral part",911.986264866,0,1
9504,"facial motor nucleus, left, ventrolateral part",911.986264866,0,1
9505,"facial motor nucleus, left, perifacial zone",911.986264866,0,1
9506,"facial motor nucleus, right, medial part",911.986264866,0,1
9507,"facial motor nucleus, right, lateral part",911.986264866,0,1
9508,"facial motor nucleus, right, intermediate part",911.986264866,0,1
9509,"facial motor nucleus, right, ventral part",911.986264866,0,1
9510,"facial motor nucleus, right, ventrolateral part",911.986264866,0,1
9511,"facial motor nucleus, right, perifacial zone",911.986264866,0,1
9512,"myelencephalon",18.1373764386,505,206
9513,"accessory cuneate nucleus",45.2548924549,0,3
9514,"accessory cuneate nucleus, left",90.5097849097,0,1
9515,"accessory cuneate nucleus, right",90.5097849097,0,1
9516,"ambiguus nucleus",45.2548924549,0,3
9517,"ambiguus nucleus, left",90.5097849097,0,1
9518,"ambiguus nucleus, right",90.5097849097,0,1
9519,"arcuate nucleus of medulla",45.2548924549,0,3
9520,"arcuate nucleus of medulla, left",90.5097849097,0,1
9521,"arcuate nucleus of medulla, right",90.5097849097,0,1
9522,"area postrema",95.2548924549,50,3
9523,"area postrema, left",96.1536410995,0,1
9524,"area postrema, right",96.1536410995,0,1
9525,"central glial substance",45.2548924549,0,3
9526,"central glial substance, left",90.5097849097,0,1
